2025/03/20 08:52:35 HIKARI Long trade for ETHBTC: Buy at 2025-03-19T18:53:00+05:30 | Sell at 2025-03-19T21:27:00+05:30 | P/L: 1.34%
2025/03/20 08:52:35 HIKARI Long trade for ETHBTC: Buy at 2025-03-19T21:38:00+05:30 | Sell at 2025-03-19T22:10:00+05:30 | P/L: 0.00%
2025/03/20 08:52:35 HIKARI Long trade for ETHBTC: Buy at 2025-03-19T23:58:00+05:30 | Sell at 2025-03-20T01:40:00+05:30 | P/L: -0.63%
2025/03/20 08:56:09 KAGE Long trade for ETHBTC: Buy at 2025-03-19T17:31:00+05:30 (price: 0.0241) | Sell at 2025-03-19T19:01:00+05:30 (price: 0.0240) | P/L: -0.50%
2025/03/20 08:56:09 KAGE Long trade for ETHBTC: Buy at 2025-03-19T19:17:00+05:30 (price: 0.0240) | Sell at 2025-03-20T00:02:00+05:30 (price: 0.0240) | P/L: 0.13%
2025/03/20 08:58:08 KAGE Long trade for ETHBTC: Buy at 2025-03-19T17:31:00+05:30 (price: 0.0241) | Sell at 2025-03-19T19:01:00+05:30 (price: 0.0240) | P/L: -0.50%
2025/03/20 08:58:08 KAGE Long trade for ETHBTC: Buy at 2025-03-19T19:17:00+05:30 (price: 0.0240) | Sell at 2025-03-19T20:05:00+05:30 (price: 0.0241) | P/L: 0.63%
2025/03/20 08:58:08 KAGE Long trade for ETHBTC: Buy at 2025-03-19T20:29:00+05:30 (price: 0.0241) | Sell at 2025-03-20T00:02:00+05:30 (price: 0.0240) | P/L: -0.37%
2025/03/20 08:58:15 KITSUNE Long trade for ETHBTC: Buy at 2025-03-19T17:31:00+05:30 | Sell at 2025-03-19T18:23:00+05:30 | P/L: -0.54%
2025/03/20 08:58:15 KITSUNE Long trade for ETHBTC: Buy at 2025-03-19T18:31:00+05:30 | Sell at 2025-03-19T18:38:00+05:30 | P/L: 0.29%
2025/03/20 08:58:15 KITSUNE Long trade for ETHBTC: Buy at 2025-03-19T18:50:00+05:30 | Sell at 2025-03-19T19:02:00+05:30 | P/L: 0.33%
2025/03/20 08:58:15 KITSUNE Long trade for ETHBTC: Buy at 2025-03-19T19:18:00+05:30 | Sell at 2025-03-19T19:36:00+05:30 | P/L: 0.08%
2025/03/20 08:58:15 KITSUNE Long trade for ETHBTC: Buy at 2025-03-19T20:00:00+05:30 | Sell at 2025-03-19T20:05:00+05:30 | P/L: 0.17%
2025/03/20 08:58:15 KITSUNE Long trade for ETHBTC: Buy at 2025-03-19T20:29:00+05:30 | Sell at 2025-03-19T20:33:00+05:30 | P/L: 0.12%
2025/03/20 08:58:15 KITSUNE Long trade for ETHBTC: Buy at 2025-03-19T20:46:00+05:30 | Sell at 2025-03-19T20:57:00+05:30 | P/L: 0.25%
2025/03/20 08:58:15 KITSUNE Long trade for ETHBTC: Buy at 2025-03-19T21:30:00+05:30 | Sell at 2025-03-19T22:04:00+05:30 | P/L: -0.04%
2025/03/20 08:58:15 KITSUNE Long trade for ETHBTC: Buy at 2025-03-19T22:37:00+05:30 | Sell at 2025-03-20T00:21:00+05:30 | P/L: -0.74%
